id,chart_template_id:id,code,name,user_type_id:id,reconcile
tw_110100,l10n_chart_tw_standard_business,110100,現金及約當現金,account.data_account_type_liquidity,TRUE
tw_110101,l10n_chart_tw_standard_business,110101,庫存現金,account.data_account_type_liquidity,TRUE
tw_110102,l10n_chart_tw_standard_business,110102,零用金,account.data_account_type_liquidity,TRUE
tw_110200,l10n_chart_tw_standard_business,110200,銀行存款-支票存款,account.data_account_type_liquidity,TRUE
tw_110201,l10n_chart_tw_standard_business,110201,零用金∕週轉金(合併),account.data_account_type_liquidity,FALSE
tw_110300,l10n_chart_tw_standard_business,110300,銀行存款-活期存款,account.data_account_type_liquidity,TRUE
tw_110301,l10n_chart_tw_standard_business,110301,銀行存款(合併),account.data_account_type_liquidity,FALSE
tw_110400,l10n_chart_tw_standard_business,110400,銀行存款-外匯存款,account.data_account_type_liquidity,TRUE
tw_110500,l10n_chart_tw_standard_business,110500,銀行存款-備償專戶,account.data_account_type_liquidity,FALSE
tw_110501,l10n_chart_tw_standard_business,110501,在途現金(合併),account.data_account_type_liquidity,FALSE
tw_110600,l10n_chart_tw_standard_business,110600,銀行存款-定期存款,account.data_account_type_liquidity,FALSE
tw_110601,l10n_chart_tw_standard_business,110601,定期存款,account.data_account_type_liquidity,FALSE
tw_110800,l10n_chart_tw_standard_business,110800,分類為約當現金之銀行透支,account.data_account_type_liquidity,FALSE
tw_110801,l10n_chart_tw_standard_business,110801,分類為約當現金之銀行透支,account.data_account_type_liquidity,FALSE
tw_111000,l10n_chart_tw_standard_business,111000,透過損益按公允價值衡量之金融資產-流動,account.data_account_type_current_assets,FALSE
tw_111101,l10n_chart_tw_standard_business,111101,原始認列時指定為透過損益按公允價值衡量之金融資產-流動,account.data_account_type_current_assets,FALSE
tw_111201,l10n_chart_tw_standard_business,111201,原始認列時指定為透過損益按公允價值衡量之金融資產評價調整-流動,account.data_account_type_current_assets,FALSE
tw_111301,l10n_chart_tw_standard_business,111301,強制按公允價值衡量之金融資產-流動,account.data_account_type_current_assets,FALSE
tw_111401,l10n_chart_tw_standard_business,111401,強制按公允價值衡量之金融資產評價調整-流動,account.data_account_type_current_assets,FALSE
tw_111501,l10n_chart_tw_standard_business,111501,持有供交易之金融資產-流動,account.data_account_type_current_assets,FALSE
tw_111601,l10n_chart_tw_standard_business,111601,持有供交易之金融資產評價調整-流動,account.data_account_type_current_assets,FALSE
tw_112000,l10n_chart_tw_standard_business,112000,透過其他綜合損益按公允價值衡量之金融資產-流動,account.data_account_type_current_assets,FALSE
tw_112101,l10n_chart_tw_standard_business,112101,透過其他綜合損益按公允價值衡量之金融資產-流動,account.data_account_type_current_assets,FALSE
tw_112201,l10n_chart_tw_standard_business,112201,透過其他綜合損益按公允價值衡量之金融資產評價調整-流動,account.data_account_type_current_assets,FALSE
tw_112500,l10n_chart_tw_standard_business,112500,備供出售金融資產-流動,account.data_account_type_current_assets,FALSE
tw_112601,l10n_chart_tw_standard_business,112601,備供出售金融資產(成本)-流動,account.data_account_type_current_assets,FALSE
tw_112701,l10n_chart_tw_standard_business,112701,備供出售金融資產評價調整-流動,account.data_account_type_current_assets,FALSE
tw_112901,l10n_chart_tw_standard_business,112901,累計減損-備供出售金融資產-流動,account.data_account_type_current_assets,FALSE
tw_113000,l10n_chart_tw_standard_business,113000,持有至到期日金融資產-流動,account.data_account_type_current_assets,FALSE
tw_113101,l10n_chart_tw_standard_business,113101,持有至到期日金融資產-流動,account.data_account_type_current_assets,FALSE
tw_113201,l10n_chart_tw_standard_business,113201,累計減損-持有至到期日金融資產-流動,account.data_account_type_current_assets,FALSE
tw_113501,l10n_chart_tw_standard_business,113501,避險之衍生金融資產-流動,account.data_account_type_current_assets,FALSE
tw_114000,l10n_chart_tw_standard_business,114000,按攤銷後成本衡量之金融資產-流動,account.data_account_type_current_assets,FALSE
tw_114101,l10n_chart_tw_standard_business,114101,按攤銷後成本衡量之金融資產-流動,account.data_account_type_current_assets,FALSE
tw_114201,l10n_chart_tw_standard_business,114201,累計減損-按攤銷後成本衡量之金融資產-流動,account.data_account_type_current_assets,FALSE
tw_114400,l10n_chart_tw_standard_business,114400,以成本衡量之金融資產-流動,account.data_account_type_current_assets,FALSE
tw_114501,l10n_chart_tw_standard_business,114501,以成本衡量之金融資產-流動,account.data_account_type_current_assets,FALSE
tw_114601,l10n_chart_tw_standard_business,114601,累計減損-以成本衡量之金融資產-流動,account.data_account_type_current_assets,FALSE
tw_114700,l10n_chart_tw_standard_business,114700,無活絡市場之債券投資-流動,account.data_account_type_current_assets,FALSE
tw_114801,l10n_chart_tw_standard_business,114801,無活絡市場之債券投資-流動,account.data_account_type_current_assets,FALSE
tw_114901,l10n_chart_tw_standard_business,114901,累計減損-無活絡市場之債券投資-流動,account.data_account_type_current_assets,FALSE
tw_115000,l10n_chart_tw_standard_business,115000,應收票據淨額,account.data_account_type_current_assets,FALSE
tw_115101,l10n_chart_tw_standard_business,115101,應收票據,account.data_account_type_receivable,TRUE
tw_115201,l10n_chart_tw_standard_business,115201,其他應收票據,account.data_account_type_receivable,TRUE
tw_115301,l10n_chart_tw_standard_business,115301,應收票據貼現,account.data_account_type_receivable,TRUE
tw_115901,l10n_chart_tw_standard_business,115901,備抵呆帳-應收票據,account.data_account_type_current_assets,FALSE
tw_116000,l10n_chart_tw_standard_business,116000,應收票據-關係人淨額,account.data_account_type_current_assets,FALSE
tw_116101,l10n_chart_tw_standard_business,116101,應收票據-關係人,account.data_account_type_current_assets,FALSE
tw_116201,l10n_chart_tw_standard_business,116201,其他應收票據-關係人,account.data_account_type_current_assets,FALSE
tw_116301,l10n_chart_tw_standard_business,116301,應收票據貼現-關係人,account.data_account_type_current_assets,FALSE
tw_116901,l10n_chart_tw_standard_business,116901,備抵呆帳-應收票據-關係人,account.data_account_type_current_assets,FALSE
tw_117000,l10n_chart_tw_standard_business,117000,應收帳款淨額,account.data_account_type_current_assets,FALSE
tw_117201,l10n_chart_tw_standard_business,117201,應收帳款,account.data_account_type_receivable,TRUE
tw_117301,l10n_chart_tw_standard_business,117301,應收分期帳款,account.data_account_type_receivable,TRUE
tw_117401,l10n_chart_tw_standard_business,117401,未實現利息收入-應收分期帳款,account.data_account_type_receivable,TRUE
tw_117501,l10n_chart_tw_standard_business,117501,應收租賃款,account.data_account_type_receivable,TRUE
tw_117601,l10n_chart_tw_standard_business,117601,融資租賃之未賺得融資收益,account.data_account_type_current_assets,FALSE
tw_117701,l10n_chart_tw_standard_business,117701,備抵銷售退回及折讓,account.data_account_type_current_assets,FALSE
tw_117901,l10n_chart_tw_standard_business,117901,備抵呆帳-應收帳款,account.data_account_type_current_assets,FALSE
tw_118000,l10n_chart_tw_standard_business,118000,應收帳款-關係人淨額,account.data_account_type_current_assets,FALSE
tw_118101,l10n_chart_tw_standard_business,118101,應收帳款-關係人,account.data_account_type_current_assets,FALSE
tw_118201,l10n_chart_tw_standard_business,118201,應收分期帳款-關係人,account.data_account_type_current_assets,FALSE
tw_118301,l10n_chart_tw_standard_business,118301,未實現利息收入-應收關係人分期帳款,account.data_account_type_current_assets,FALSE
tw_118401,l10n_chart_tw_standard_business,118401,應收租賃款-關係人,account.data_account_type_current_assets,FALSE
tw_118501,l10n_chart_tw_standard_business,118501,融資租賃之未賺得融資收益-關係人,account.data_account_type_current_assets,FALSE
tw_118901,l10n_chart_tw_standard_business,118901,備抵呆帳-應收關係人帳款,account.data_account_type_current_assets,FALSE
tw_120000,l10n_chart_tw_standard_business,120000,其他應收款,account.data_account_type_receivable,TRUE
tw_120101,l10n_chart_tw_standard_business,120101,應收退稅款,account.data_account_type_receivable,TRUE
tw_120401,l10n_chart_tw_standard_business,120401,應收歸墊款,account.data_account_type_receivable,TRUE
tw_120501,l10n_chart_tw_standard_business,120501,應收收益,account.data_account_type_current_assets,FALSE
tw_120601,l10n_chart_tw_standard_business,120601,其他應收帳款-其他,account.data_account_type_current_assets,FALSE
tw_120901,l10n_chart_tw_standard_business,120901,備抵呆帳-其他應收款項,account.data_account_type_current_assets,FALSE
tw_121000,l10n_chart_tw_standard_business,121000,其他應收帳款-關係人,account.data_account_type_current_assets,FALSE
tw_121101,l10n_chart_tw_standard_business,121101,應收收益-關係人,account.data_account_type_current_assets,FALSE
tw_121201,l10n_chart_tw_standard_business,121201,其他應收帳款-關係人-其他,account.data_account_type_current_assets,FALSE
tw_121901,l10n_chart_tw_standard_business,121901,備抵呆帳-其他應收關係人款項,account.data_account_type_current_assets,FALSE
tw_122000,l10n_chart_tw_standard_business,122000,當期所得稅資產,account.data_account_type_current_assets,FALSE
tw_122101,l10n_chart_tw_standard_business,122101,應收所得稅退稅款,account.data_account_type_current_assets,FALSE
tw_122201,l10n_chart_tw_standard_business,122201,預付所得稅,account.data_account_type_current_assets,TRUE
tw_130000,l10n_chart_tw_standard_business,130000,存貨-買賣業,account.data_account_type_current_assets,TRUE
tw_130101,l10n_chart_tw_standard_business,130101,商品存貨,account.data_account_type_current_assets,TRUE
tw_130201,l10n_chart_tw_standard_business,130201,寄銷品,account.data_account_type_current_assets,TRUE
tw_130801,l10n_chart_tw_standard_business,130801,在途商品,account.data_account_type_current_assets,TRUE
tw_130901,l10n_chart_tw_standard_business,130901,備抵存貨跌價-買賣,account.data_account_type_current_assets,TRUE
tw_131000,l10n_chart_tw_standard_business,131000,存貨-製造業,account.data_account_type_current_assets,TRUE
tw_131101,l10n_chart_tw_standard_business,131101,製成品,account.data_account_type_current_assets,TRUE
tw_131201,l10n_chart_tw_standard_business,131201,副產品,account.data_account_type_current_assets,TRUE
